"user_id","username","email","user_type","created_at","password_hash"
"560e8773-6","sunil_sales","sunil.sales@yahoo.com","client","2024-12-09 04:32:34","SunilSell890"
"55cfdee2-1","arjun_writes","arjun.writes@gmail.com","freelancer","2024-10-23 12:49:57","ArjunWords123"
"60142e4e-e","vikas_ui","vikas.ui@outlook.com","freelancer","2024-09-21 14:33:04","VikasUIDesign!"
"cadcacbd-7","komal.bhardwaj","komal.bhardwaj@gmail.com","client","2024-12-12 23:14:57","KomalBHard99"
"b5cb1f48-7","shashank_movies","shashank.movies@gmail.com","freelancer","2024-11-21 03:12:58","MoviesShash99"
"8e31e4e6-c","tanvi_digital","tanvi.digital@yahoo.com","freelancer","2025-02-02 06:34:37","TanviDigi#11"
"b369dfd6-f","dhruv_ai_tech","dhruv.ai.tech@gmail.com","freelancer","2024-09-07 03:38:51","AI_Dhruv999"
"47b7b97c-e","navya_social","navya.social@gmail.com","client","2025-03-02 00:03:49","NavyaInsta777"
"2d587ae5-8","shreya_podcast","shreya.podcast@yahoo.com","client","2024-10-16 08:31:04","ShreyaPod!999"
"a54a7813-0","rahul_youtuber","rahul.youtuber@gmail.com","freelancer","2024-09-21 16:54:25","RahulYT99"
"37e2bc86-5","preeti_books","preeti.books@hotmail.com","client","2024-12-19 04:20:39","PreetiLib123"
"a28733c4-a","suresh_builder","suresh.builder@gmail.com","client","2025-02-18 17:17:14","SureshConstruct77"
"a1182307-e","kiran_studio","kiran.studio@yahoo.com","freelancer","2025-02-14 02:30:59","KiranStudio@1"
"98663b14-6","megha_writer","megha.writer@gmail.com","freelancer","2025-01-28 23:20:58","MeghaWrits777"
"cc13a75a-1","aditya_uxguy","aditya.uxguy@gmail.com","freelancer","2024-12-02 19:55:47","AdityaUX!77"
"597f9109-4","priyanka_ads","priyanka.ads@gmail.com","client","2025-02-27 16:33:17","PriyaAds#44"
"c85db1c0-2","gaurav_robotics","gaurav.robotics@gmail.com","freelancer","2024-12-20 06:57:52","GauravRoboAI"
"34116317-6","ramesh_it","ramesh.it@gmail.com","client","2024-11-18 19:04:53","RameshSecure99"
"7a0abb7b-d","deepak_photography","deepak.photography@yahoo.com","freelancer","2025-03-01 14:38:43","DeepakPhoto99"
"7bd9fdb8-5","varun_marketeer","varun.marketeer@gmail.com","client","2024-11-15 20:35:49","VarunMktg777"
"51e410ae-5","isha_uxgirl","isha.uxgirl@hotmail.com","freelancer","2024-10-18 10:34:51","IshaUIX999"
"e363f571-7","sandeep_3d","sandeep.3d@gmail.com","freelancer","2024-10-17 03:05:07","Sandy3DDesign!"
"bb95abb6-c","ravi_webdev","ravi.webdev@yahoo.com","freelancer","2024-10-31 00:36:39","RaviWebC!999"
"e4c47d8a-b","ashish_codes","ashish.codes@gmail.com","freelancer","2024-12-03 21:13:48","AshishCode@11"
"2a15d648-4","kanika_social","kanika.socialmedia@gmail.com","client","2024-10-09 10:57:03","KanikaInsta@99"
"9443dd24-a","sourav_tech","sourav.tech@gmail.com","freelancer","2024-12-19 04:17:43","SouravSecurePass"
"f668b07a-f","pankaj_vfx","pankaj.vfx@yahoo.com","freelancer","2025-03-06 06:57:02","PankajVFX@99"
"1f8977ce-4","ruchi_writer","ruchi.writer@gmail.com","freelancer","2025-01-12 12:56:51","RuchiWrites77"
"71a660be-e","anirudh_editor","anirudh.editor@gmail.com","freelancer","2024-11-22 17:14:26","AnirudhEdit99"
"5b408640-0","vivek_digital","vivek.digital@yahoo.com","client","2024-12-28 06:40:20","VivekDigital77"
"ab7a827b-2","pooja_smm","pooja.smm@gmail.com","client","2025-01-01 21:09:23","PoojaSMManager77"
"d05dfa25-2","akshay_dev","akshay.dev@gmail.com","freelancer","2024-11-07 23:40:19","AkshayCode99"
"84897cf8-a","sneha_marketing","sneha.marketing@gmail.com","client","2024-11-19 18:46:01","SnehaMarketPass"
"7f3efedc-9","rohan_data","rohan.data@outlook.com","freelancer","2024-12-19 10:41:54","RohanSQL777"
"71bc5f96-3","divya_designs","divya.designs@gmail.com","freelancer","2025-01-26 04:32:54","DivyaUIX999"
"1e6a5017-3","amit_business","amit.business@yahoo.com","client","2024-11-11 14:26:18","AmitBizPass88"
"29644934-8","jyoti_writer","jyoti.writer@gmail.com","freelancer","2024-11-01 01:21:02","JyotiWritings101"
"fef0d132-1","sachin_photog","sachin.photog@gmail.com","freelancer","2025-02-07 11:47:58","SachinPhoto777"
"1f4f1f15-c","mohit_techie","mohit.techie@outlook.com","freelancer","2025-01-24 22:11:24","MohitTechCode!"
"51828f8c-b","anita_sales","anita.sales@gmail.com","client","2025-02-03 08:43:26","AnitaSales999"
"420173ee-7","karan_ux","karan.uxdesigner@gmail.com","freelancer","2024-12-24 18:20:52","KaranUXDesign!"
"e0ee0945-0","piyush_robotics","piyush.robotics@yahoo.com","freelancer","2024-12-25 22:30:10","PiyushAI99"
"6948b4e9-e","reema_social","reema.socialmedia@gmail.com","client","2024-12-28 13:36:05","ReemaSocial777"
"ac1e51ef-3","atul_developer","atul.developer@gmail.com","freelancer","2024-10-11 04:26:18","AtulCodeSecure88"
"afd8ada5-d","sanjay_trader","sanjay.trader@hotmail.com","client","2024-11-24 13:13:29","SanjayTrade777"
"4a704d18-6","priya_vfx","priya.vfxartist@gmail.com","freelancer","2025-02-09 17:11:44","PriyaVFX99"
"0c6d094c-3","chirag_business","chirag.businessman@gmail.com","client","2024-12-16 00:51:53","ChiragBizPass"
"0c03acd3-e","nikhil_3d","nikhil.3dartist@gmail.com","freelancer","2025-01-29 17:05:02","Nikhil3DArt!"
"b93e8f6b-5","sonam_books","sonam.books@yahoo.com","client","2024-10-14 10:37:20","SonamBookshelf77"
"d04eeecd-a","vishal_ai","vishal.ai.engineer@gmail.com","freelancer","2024-11-02 13:20:35","VishalAI888"
"453be57e-6","madhu_digital","madhu.digitalmarketer@gmail.com","client","2025-02-25 10:25:05","MadhuMarketPass99"
"70e2fdd7-d","rahul_game","rahul.game.dev@gmail.com","freelancer","2024-10-14 03:47:52","RahulGameCode111"
"0298778a-c","deepa_singer","deepa.singer@gmail.com","freelancer","2024-10-25 00:05:56","DeepaMelody77"
"54f04bbd-7","saurabh_ui","saurabh.uiuxdesigner@gmail.com","freelancer","2024-11-26 03:20:35","SaurabhUIDesign!"
"dee61fc3-7","amit_finance","amit.financeguru@yahoo.com","client","2025-02-05 06:41:44","AmitFinance99"
"bd7e4ec1-1","vaibhav_photog","vaibhav.photographer@gmail.com","freelancer","2024-09-28 07:56:52","VaibhavPhotos123"
"df680804-0","rishi_writer","rishi.writer@yahoo.com","freelancer","2024-11-26 15:46:42","RishiWrites999"
"21b435e6-0","swati_vlogger","swati.vlogger@gmail.com","client","2024-09-21 01:29:12","SwatiVlogLife77"
"bdb70612-9","dev_marketing","dev.marketing@gmail.com","freelancer","2024-11-23 19:06:54","DevMarket@888"
"bb6d8453-b","manish_realtor","manish.realtor@gmail.com","client","2025-01-23 17:18:08","ManishRealtorPass!"
"7d1ec63d-4","shilpa_tech","shilpa.techguru@gmail.com","freelancer","2024-12-19 21:56:48","ShilpaTechCode77"
"4614bdd3-1","yogesh_arch","yogesh.architect@gmail.com","freelancer","2025-01-16 10:43:35","YogeshArch999"
"3d1a40c8-f","kriti_painter","kriti.painter@gmail.com","freelancer","2024-11-04 18:05:09","KritiArt777"
"50a43ac5-2","dilip_invest","dilip.investor@gmail.com","client","2024-12-15 07:01:43","DilipInvesting99"
"c07c2979-a","sonu_webdev","sonu.webdev@gmail.com","freelancer","2024-10-11 17:22:20","SonuWebSecure88"
"804c1256-4","farhan_dj","farhan.dj.music@gmail.com","freelancer","2025-02-26 16:46:11","FarhanDJBeats77"
"35e5571b-8","anil_sports","anil.sportsfan@gmail.com","client","2025-01-02 09:50:11","AnilSportsPass99"
"fc3fbba4-1","swetha_podcast","swetha.podcast@gmail.com","client","2025-03-07 00:58:53","SwethaPod999"
"d5cf7f46-d","naveen_editor","naveen.editor@gmail.com","freelancer","2024-11-23 14:57:43","NaveenEditPass"
"25c430d4-a","karishma_social","karishma.socialguru@gmail.com","client","2024-10-24 14:30:46","KarishmaSocial!"
"3478855c-f","alok_analytics","alok.analytics@gmail.com","freelancer","2025-01-09 03:49:51","AlokData999"
"fffd42a4-7","ravi_coder","ravi.coder@gmail.com","freelancer","2024-11-30 23:24:39","RaviCodePass777"
"eefc2fe4-7","pranita_influencer","pranita.influencer@gmail.com","client","2024-10-29 07:55:20","PranitaInsta999"
"17a54b9b-7","gagan_musician","gagan.musician@gmail.com","freelancer","2024-12-02 21:14:32","GaganMelody777"
"adacf265-b","aakash_it","aakash.itguru@gmail.com","freelancer","2024-11-13 16:10:18","AakashITPass99"
"24cd2824-5","nandini_finance","nandini.finance@gmail.com","client","2024-12-01 22:24:22","NandiniFinPass!"
"76674b43-f","siddharth_politics","siddharth.politics@gmail.com","client","2024-12-29 06:18:17","SidPolitics999"
"393b3300-c","devansh_speaker","devansh.speaker@gmail.com","freelancer","2025-03-06 17:53:23","DevanshSpeak777"
"a1b46107-0","rahul_food","rahul.foodblogger@gmail.com","client","2024-11-16 13:41:56","RahulFoodiePass99"
"a9b55fd3-0","sameer_meditation","sameer.meditation@gmail.com","client","2024-09-16 03:44:35","SameerMindfulness777"
"62f3bf24-9","harshit_consultant","harshit.consultant@gmail.com","freelancer","2024-12-30 16:47:48","HarshitConsulting99"
"4668147d-5","tanisha_research","tanisha.researcher@gmail.com","freelancer","2025-02-01 08:01:23","TanishaResearch777"
"44c3a6c1-d","jayesh_dev999","jayesh.dev999@gmail.com","freelancer","2024-10-12 01:48:09","JayeshC0d3r"
"75bace7e-a","rupal_fashions","rupal.fashions@yahoo.com","client","2024-12-08 19:45:20","RupalFashion123"
"cb4ea407-6","sanket_data_analyst","sanket.data@gmail.com","freelancer","2025-01-29 05:07:15","SanketD@ta99"
"7aed1803-2","simran_makeup","simran.makeup@hotmail.com","client","2024-12-20 01:13:00","SimranMUA777"
"df258868-6","abhishek_ai","abhishek.ai.tech@gmail.com","freelancer","2024-09-19 18:27:23","AbhiAIpass99"
"fe6d411b-3","jatin_motiongfx","jatin.motiongfx@yahoo.com","freelancer","2024-10-24 03:52:09","JatinVFX101"
"b6cb8ac4-c","riya_paints","riya.paints@gmail.com","client","2024-12-13 20:03:05","RiyaPaint77!"
"70842bde-0","devendra_musician","devendra.musician@gmail.com","freelancer","2024-11-21 06:25:36","DevendraTune88"
"fa09c8b1-0","sneha_podcaster","sneha.podcaster@gmail.com","client","2025-01-02 17:26:59","SnehaPod456"
"2b7138a5-e","harsha_investor","harsha.investor@hotmail.com","client","2025-01-22 15:51:36","HarshaInvst123"
"eb406f71-c","tushar_web3","tushar.web3dev@gmail.com","freelancer","2024-09-26 03:02:05","TusharCrypto999"
"a115717e-1","anshul_blog","anshul.blogwriter@yahoo.com","freelancer","2024-12-20 23:34:47","AnshulWrit3s"
"2a144659-2","deepali_research","deepali.research@gmail.com","client","2025-02-19 09:29:28","DeepRes99"
"8c19b84e-9","vinit_foodie","vinit.foodie@gmail.com","client","2025-01-26 02:33:37","VinitFoodLover"
"4da32970-d","sakshi_illustrator","sakshi.illustrator@yahoo.com","freelancer","2024-12-01 02:36:49","SakshiDoodleX"
"aab4b6ec-1","manoj_realestate","manoj.realestate@gmail.com","client","2024-09-07 10:47:33","ManojRealtor#1"
"3541aa24-9","uday_photography","uday.photography@gmail.com","freelancer","2025-02-19 05:23:32","UdayClicks99"
"e479845f-2","meera_travelblog","meera.travelblog@gmail.com","client","2024-09-11 07:16:22","MeeraTrips@77"
"a0d4c64f-9","lakshya_videography","lakshya.videography@yahoo.com","freelancer","2024-10-01 08:26:34","LakshyaFilms888"
"d7f4012d-2","amit_fashion","amit.fashiondesigner@gmail.com","freelancer","2025-02-16 03:31:45","AmitDesigns101"
"05fa967f-4","sanya_hr","sanya.hrmanager@gmail.com","client","2024-09-11 18:39:59","SanyaHREmployee"
"f26af625-1","ravi_podcast","ravi.podcast@gmail.com","freelancer","2024-10-01 12:12:39","RaviCasts999"
"98042a50-7","pranita_writes","pranita.writes@yahoo.com","freelancer","2025-01-28 23:07:03","PranitaStory999"
"418aa60d-4","govind_finance","govind.finance@hotmail.com","client","2024-11-26 23:22:20","GovindInvests$"
"f046039f-8","shivani_animates","shivani.animates@gmail.com","freelancer","2024-10-07 10:32:12","ShivaniAnimeX"
"6ae7a76c-6","harshal_architect","harshal.architect@yahoo.com","client","2025-01-29 07:52:43","HarshArch999"
"f9f19dae-c","shweta_makeup","shweta.makeupartist@gmail.com","freelancer","2025-01-02 18:39:06","ShwetaMUA111"
"8c69a0d3-d","ajinkya_editor","ajinkya.editor@gmail.com","freelancer","2025-01-08 14:06:36","AjinkyaVidEdit"
"d6668e4d-8","rashmi_fashion","rashmi.fashion@yahoo.com","client","2025-01-18 11:10:31","RashmiStyles99"
"744500ff-f","pratham_music","pratham.music@gmail.com","freelancer","2025-02-10 06:59:26","PrathamMelody1"
"3bd64de9-8","karan_sports","karan.sportsanalyst@gmail.com","client","2025-03-02 07:34:28","KaranCricket77"
"d87807ee-c","priyanshu_digitalart","priyanshu.digitalart@yahoo.com","freelancer","2025-02-01 08:56:58","PriyanArt!99"
"7da4c7a9-7","ankita_homechef","ankita.homechef@gmail.com","client","2025-01-12 12:36:23","AnkitaCook99"
